yq,PAYEMS,CPIAUCSL,HSN1F,UNRATE,HOUST,INDPRO,DSPIC96,IR,CPILFESL,PCEPILFE,PCEPI,PERMIT,TCU,IQ,GACDFSA066MSFRBPHI,GDPC1,ULCNFB,A261RX1Q020SBEA,LPAYEMS,L2PAYEMS,L3PAYEMS,L4PAYEMS,LCPIAUCSL,L2CPIAUCSL,L3CPIAUCSL,L4CPIAUCSL,LHSN1F,L2HSN1F,L3HSN1F,L4HSN1F,LUNRATE,L2UNRATE,L3UNRATE,L4UNRATE,LHOUST,L2HOUST,L3HOUST,L4HOUST,LINDPRO,L2INDPRO,L3INDPRO,L4INDPRO,LDSPIC96,L2DSPIC96,L3DSPIC96,L4DSPIC96,LIR,L2IR,L3IR,L4IR,LCPILFESL,L2CPILFESL,L3CPILFESL,L4CPILFESL,LPCEPILFE,L2PCEPILFE,L3PCEPILFE,L4PCEPILFE,LPCEPI,L2PCEPI,L3PCEPI,L4PCEPI,LPERMIT,L2PERMIT,L3PERMIT,L4PERMIT,LTCU,L2TCU,L3TCU,L4TCU,LIQ,L2IQ,L3IQ,L4IQ,LGACDFSA066MSFRBPHI,L2GACDFSA066MSFRBPHI,L3GACDFSA066MSFRBPHI,L4GACDFSA066MSFRBPHI,LGDPC1,L2GDPC1,L3GDPC1,L4GDPC1,LULCNFB,L2ULCNFB,L3ULCNFB,L4ULCNFB,LA261RX1Q020SBEA,L2A261RX1Q020SBEA,L3A261RX1Q020SBEA,L4A261RX1Q020SBEA
1985.75,97845.33333333333,107.9,723.33331,7.2,1701,56.7697,5477.433333333333,76,109.7333333333333,57.21966666666666,56.90633333333333,1807,78.73333333333333,83.7,6.899999999999999,7655.2,66.179,7552.9,97650,97473.664,97270.336,97065,107.7,107.46667,107.23333,107,738,722,673.33331,656.33331,7.3000002,7.3333335,7.3000002,7.2333331,1701,1680,1725.6666,1767,56.733833,56.767033,56.849499,56.860432,5466.3999,5503.0669,5495.8335,5462.2998,75.800003,75.800003,75.800003,75.5,109.43333,109.1,108.76667,108.43333,57.031998,56.818333,56.630333,56.473999,56.765335,56.602669,56.456333,56.327999,1740.3334,1707.3334,1696.3334,1700,78.866669,79.099998,79.400002,79.599998,84.400002,84.400002,84.400002,84,5.3333335,5.6999998,5.1999998,16.333334,7537.8999,7537.8999,7537.8999,7469.5,66.037003,66.037003,66.037003,65.639999,7461.5,7461.5,7461.5,7407.5
1986,98428,109,703,7.033333333333334,1824.6666,57.09979999999999,5540.400000000001,77.8,111,57.62233333333333,57.29633333333334,1743,78.8,83.8,13.13333333333333,7712.6,67.149,7595.7,98240,98040,97845.336,97650,108.53333,108.16666,107.9,107.7,688.66669,686.33331,723.33331,738,7.0666666,7.0999999,7.1999998,7.3000002,1736,1751,1701,1701,56.915169,56.849236,56.769699,56.733833,5515.4331,5493.6997,5477.4331,5466.3999,76,76,76,75.800003,110.53333,110.1,109.73334,109.43333,57.494667,57.381001,57.219666,57.031998,57.147335,57.031334,56.906334,56.765335,1783.6666,1822.3334,1807,1740.3334,78.666664,78.699997,78.73333,78.866669,83.699997,83.699997,83.699997,84.400002,9.4000006,5.1333332,6.9000001,5.3333335,7655.2002,7655.2002,7655.2002,7537.8999,66.179001,66.179001,66.179001,66.037003,7552.8999,7552.8999,7552.8999,7461.5
1986.25,98836.66666666667,109.5666666666667,780.33331,7.033333333333334,1898.6666,57.43263333333334,5609.400000000001,75,112.2,58.24833333333333,57.70666666666667,1798,78.93333333333334,83.59999999999999,18.73333333333333,7784.1,67.346,7673,98728,98595,98428,98240,109.7,109.46667,109,108.53333,727.33331,729,703,688.66669,6.9666667,6.9000001,7.0333333,7.0666666,1920.6666,1870.6666,1824.6666,1736,57.607533,57.449467,57.0998,56.915169,5579.3667,5557.1333,5540.3999,5515.4331,77.800003,77.800003,77.800003,76,111.83334,111.46667,111,110.53333,58.034332,57.825668,57.622334,57.494667,57.659,57.504333,57.296333,57.147335,1802.6666,1777.6666,1743,1783.6666,79.26667,79.166664,78.800003,78.666664,83.800003,83.800003,83.800003,83.699997,18.566666,18.533333,13.133333,9.4000006,7712.6001,7712.6001,7712.6001,7655.2002,67.149002,67.149002,67.149002,66.179001,7595.7002,7595.7002,7595.7002,7552.8999
1986.5,99175.33333333333,109.0333333333333,791.33331,7.166666666666667,1878,57.10256666666666,5683.933333333333,75.09999999999999,113.1333333333333,58.63433333333334,57.637,1815,78.26666666666667,83.3,2.633333333333333,7819.8,67.557,7693.4,99102,98966,98836.664,98728,108.93333,109.16666,109.56667,109.7,842,821.66669,780.33331,727.33331,7.1666665,7.1666665,7.0333333,6.9666667,1887.6666,1885.6666,1898.6666,1920.6666,57.111599,57.190132,57.432632,57.607533,5674.8667,5645.7334,5609.3999,5579.3667,75,75,75,77.800003,112.83334,112.53333,112.2,111.83334,58.512669,58.389999,58.248333,58.034332,57.574333,57.624001,57.706669,57.659,1811.6666,1801.6666,1798,1802.6666,78.333336,78.5,78.933334,79.26667,83.599998,83.599998,83.599998,83.800003,6.3666668,12.333333,18.733334,18.566666,7784.1001,7784.1001,7784.1001,7712.6001,67.346001,67.346001,67.346001,67.149002,7673,7673,7673,7595.7002
1986.75,99664.66666666667,109.7,694,6.966666666666666,1758.6666,57.3157,5724.166666666667,76.90000000000001,114.2,59.02266666666666,57.93,1730.6666,78.30000000000001,82.40000000000001,9.733333333333334,7898.6,68.063,7744.5,99405,99292.336,99175.336,99102,109.5,109.3,109.03333,108.93333,682.33331,738.33331,791.33331,842,7.0333333,7.1333332,7.1666665,7.1666665,1812,1827.6666,1878,1887.6666,57.195965,57.1782,57.102566,57.111599,5708.5664,5695.8999,5683.9331,5674.8667,75.099998,75.099998,75.099998,75,113.8,113.43333,113.13333,112.83334,58.886665,58.757,58.634335,58.512669,57.841,57.744335,57.637001,57.574333,1765.3334,1789,1815,1811.6666,78.23333,78.300003,78.26667,78.333336,83.300003,83.300003,83.300003,83.599998,7.1333332,5.5,2.6333332,6.3666668,7819.7998,7819.7998,7819.7998,7784.1001,67.556999,67.556999,67.556999,67.346001,7693.3999,7693.3999,7693.3999,7673
1987,100312.3333333333,110.4666666666667,720,6.833333333333333,1712.3334,57.97130000000001,5734.366666666666,77.7,115.3,59.495,58.27466666666666,1740.6666,78.93333333333332,83.3,16.1,7939.5,69.133,7805.6,100120,99880.336,99664.664,99405,110.2,109.93333,109.7,109.5,713,684.33331,694,682.33331,6.9666667,6.9666667,6.9666667,7.0333333,1663.6666,1725,1758.6666,1812,57.632866,57.417667,57.315701,57.195965,5730.5,5728.1665,5724.1665,5708.5664,76.900002,76.900002,76.900002,75.099998,114.96667,114.6,114.2,113.8,59.361668,59.190666,59.022667,58.886665,58.18,58.049332,57.93,57.841,1668.3334,1695.6666,1730.6666,1765.3334,78.566666,78.366669,78.300003,78.23333,82.400002,82.400002,82.400002,83.300003,12.033334,8.833334,9.7333336,7.1333332,7898.6001,7898.6001,7898.6001,7819.7998,68.063004,68.063004,68.063004,67.556999,7744.5,7744.5,7744.5,7693.3999
1987.25,100920.6666666667,111.8,718,6.599999999999999,1761.3334,58.73426666666666,5781.733333333333,80.8,116.2333333333333,59.86599999999999,58.82100000000001,1694.3334,79.53333333333335,84.3,6.900000000000001,7995,69.82299999999999,7884.2,100703,100500,100312.34,100120,111.33334,110.86667,110.46667,110.2,741.66669,733.33331,720,713,6.5999999,6.6999998,6.8333335,6.9666667,1797,1743.3334,1712.3334,1663.6666,58.5131,58.162899,57.971302,57.632866,5764,5744.7998,5734.3667,5730.5,77.699997,77.699997,77.699997,76.900002,115.9,115.6,115.3,114.96667,59.719334,59.607002,59.495003,59.361668,58.609001,58.424,58.274666,58.18,1760.6666,1745.6666,1740.6666,1668.3334,79.400002,79.066666,78.933334,78.566666,83.300003,83.300003,83.300003,82.400002,12.633333,15,16.1,12.033334,7939.5,7939.5,7939.5,7898.6001,69.133003,69.133003,69.133003,68.063004,7805.6001,7805.6001,7805.6001,7744.5
1987.5,101710,113.0666666666667,674.33331,6.266666666666667,1612,59.7712,5725.366666666666,83.59999999999999,117.6333333333333,60.43666666666667,59.38033333333333,1541,80.46666666666665,86,15.63333333333333,8084.7,69.824,8009.4,101464.66,101193.66,100920.66,100703,112.63333,112.23333,111.8,111.33334,699.66669,726.66669,718,741.66669,6.4000001,6.5,6.5999999,6.5999999,1656,1708,1761.3334,1797,59.4258,59.141998,58.734268,58.5131,5725.6001,5721.1333,5781.7334,5764,80.800003,80.800003,80.800003,77.699997,117.2,116.7,116.23333,115.9,60.246334,60.049667,59.866001,59.719334,59.187332,59.014668,58.820999,58.609001,1601.6666,1664.6666,1694.3334,1760.6666,80.166664,79.933334,79.533333,79.400002,84.300003,84.300003,84.300003,83.300003,13.166667,9.6999998,6.9000001,12.633333,7995,7995,7995,7939.5,69.822998,69.822998,69.822998,69.133003,7884.2002,7884.2002,7884.2002,7805.6001
1987.75,102437,114.2666666666667,660.33331,6,1625,60.88346666666666,5829.566666666667,84.3,118.7333333333333,60.972,59.93733333333333,1513.6666,81.53333333333335,86.59999999999999,23.96666666666667,8158,70.53700000000001,8129.2,102188.34,101958.34,101710,101464.66,113.86667,113.43333,113.06667,112.63333,650.66669,648.66669,674.33331,699.66669,6.0999999,6.1999998,6.2666669,6.4000001,1591.3334,1599,1612,1656,60.525101,60.128067,59.771198,59.4258,5815.2998,5803.7998,5725.3667,5725.6001,83.599998,83.599998,83.599998,80.800003,118.3,117.96667,117.63333,117.2,60.771,60.597668,60.436665,60.246334,59.745667,59.548332,59.380333,59.187332,1516.3334,1512.6666,1541,1601.6666,81.166664,80.766663,80.466667,80.166664,86,86,86,84.300003,19.533333,16.066668,15.633333,13.166667,8084.7002,8084.7002,8084.7002,7995,69.823997,69.823997,69.823997,69.822998,8009.3999,8009.3999,8009.3999,7884.2002
1988,103390.6666666667,115.3333333333333,623.33331,5.833333333333333,1523.6666,62.36633333333333,5907.533333333333,85.5,120.1,61.60066666666666,60.463,1416.3334,83.13333333333333,88.3,22.96666666666667,8292.700000000001,70.779,8236,103051.34,102734,102437,102188.34,115.03333,114.66666,114.26667,113.86667,647,657.66669,660.33331,650.66669,5.9000001,5.9666667,6,6.0999999,1622,1605,1625,1591.3334,61.859066,61.398167,60.883465,60.525101,5870.0669,5850.2998,5829.5669,5815.2998,84.300003,84.300003,84.300003,83.599998,119.7,119.23333,118.73333,118.3,61.424667,61.209999,60.972,60.771,60.321335,60.149002,59.937336,59.745667,1472.6666,1490.6666,1513.6666,1516.3334,82.566666,82.099998,81.533333,81.166664,86.599998,86.599998,86.599998,86,21.766666,27.866667,23.966667,19.533333,8158,8158,8158,8084.7002,70.537003,70.537003,70.537003,69.823997,8129.2002,8129.2002,8129.2002,8009.3999
